ID," ""Site"""," ""Subsite"""," ""Diver_Team"""," ""Date"""," ""Transect_Type"""," ""Sampling_Period"""," ""Transect_Number"""," ""Transect_Heading"""," ""Visibility"""," ""Species_Code"""," ""Species"""," ""Abundance"""," ""Size_cm"""," ""Min_Range_cm"""," ""Max_Range_cm"""," ""Water_Col_Position"""," ""Biomass_kg_m3"""," ""Data_Entered_By"""," ""Data_Read_By"""," ""NOTES"""," ""QAQC_Name"""," ""QAQC_Date"""," ""QAQC_Notes""",OUTLIER NOTES,,
AR-345_TITAN_2015-07-17_R_T1,345," ""TITAN"""," ""CR_AP"""," ""7/17/2015"""," ""Radiating"""," ""Fall"""," ""1"""," ""80"""," """""," ""SCMA"""," ""Spanish Mackerel""",1,65, NA, NA," ""W""", NA," ""HL"""," ""CR"""," ""PRE SAMPLING PERIOD 1st dive"," less reliable data"""," ""CR"""," ""10/29/2015""",possible,,
AR-345_TITAN_2015-08-10_R_T1,345," ""TITAN"""," ""HL_GS"""," ""8/10/2015"""," ""Radiating"""," ""Fall"""," ""1"""," ""180"""," """""," ""DIHO"""," ""Spottail Pinfish""",500,4, NA, NA," ""S""", NA," ""CR"""," ""HL"""," ""PRE SAMPLING PERIOD"""," ""CR"""," ""10/29/2015"""," ""Added transect heading",Too small?,,
AR-345_TITAN_2015-08-10_R_T2,345," ""TITAN"""," ""HL_GS"""," ""8/10/2015"""," ""Radiating"""," ""Fall"""," ""2"""," ""180"""," """""," ""DIHO"""," ""Spottail Pinfish""",18,1, NA, NA," ""R/S""", NA," ""CR"""," ""HL"""," ""PRE SAMPLING PERIOD"""," ""CR"""," ""10/29/2015"""," ""Added transect heading",Too small?,,
AR-345_TITAN_2015-10-15_R_T2,345," ""TITAN"""," ""CR_EE"""," ""10/15/2015"""," ""Radiating"""," ""Fall"""," ""2"""," ""180"""," ""15 ft"""," ""DIHO"""," ""Spottail Pinfish""",10,50, NA, NA," ""R""", NA," ""CR"""," """""," """""," ""HL"""," ""11/6/2015"""," ""0 errors ""","this needs to be changed: it was 50 at 10, not 10 at 50",checked,changed
AR-345_TITAN_2015-07-17_R_T1,345," ""TITAN"""," ""CR_AP"""," ""7/17/2015"""," ""Radiating"""," ""Fall"""," ""1"""," ""80"""," """""," ""HAAU"""," ""Tomtate""",5000,4, NA, NA," ""R""", NA," ""HL"""," ""CR"""," ""PRE SAMPLING PERIOD 1st dive"," less reliable data"""," ""CR"""," ""10/29/2015""",seemingly impossible,,
AR-345_TITAN_2015-08-10_R_T1,345," ""TITAN"""," ""HL_GS"""," ""8/10/2015"""," ""Radiating"""," ""Fall"""," ""1"""," ""180"""," """""," ""HAAU"""," ""Tomtate""",5000,6, NA, NA," ""S""", NA," ""CR"""," ""HL"""," ""PRE SAMPLING PERIOD"""," ""CR"""," ""10/29/2015"""," ""Added transect heading",seems small,,
AR-370_NR2_2015-09-09_R,370," ""NR2"""," ""HL_AV"""," ""9/9/2015"""," ""Radiating"""," ""Fall"""," ""3"""," ""270"""," """""," ""UNK"""," ""Unknown Fish Species""",1,90, NA, NA," ""R""", NA," ""HL"""," """""," """""," ""HL"""," ""11/5/2015"""," ""0 errors""",what,,
AR-370_NR2_2015-09-09_R_T3,370," ""NR2"""," ""HL_AV"""," ""9/9/2015"""," ""Radiating"""," ""Fall"""," ""3"""," ""270"""," """""," ""UNK"""," ""Unkown Fish Species""",1,91, NA, NA," ""R""", NA," ""HL"""," """""," """""," ""HL"""," ""11/5/2015"""," ""0 errors """,what,,
AR-330_HUNITS_2016-01-15_R_T1,330," ""HUNITS"""," ""CR_SO"""," ""1/15/2016"""," ""Radiating"""," ""Winter"""," ""1"""," ""180"""," ""15ft"""," ""PARA"""," ""Unknown Flounder""",1,11, NA, NA," ""R""", NA," ""CR"""," """""," ""H-UNIT at 6 m and 9 m"""," """""," """""," """"","possible, mayble small",,
AR-372_NR2_2015-09-02_R_T1,372," ""NR2"""," ""CR_WF"""," ""9/2/2015"""," ""Radiating"""," ""Fall"""," ""1"""," ""0"""," """""," ""GRUN"""," ""Unknown Grunt""",50,7, NA, NA," """"", NA," ""CR"""," """""," """""," ""HL"""," ""11/3/2015"""," ""0 errors""",what is this?,,
AR-372_TRAINCARS_2015-09-03_R_T1,372," ""TRAINCARS"""," ""HL_KJ"""," ""9/3/2015"""," ""Radiating"""," ""Fall"""," ""1"""," ""305"""," """""," ""GRUN"""," ""Unknown Grunt""",2,4, NA, NA," ""R""", NA," ""HL"""," """""," """""," ""CR/HL"""," ""10/30/2015"""," ""0 errors""",what could this be?,,
