ID,Site,Subsite,Diver_Team,Date,Transect_Type,Sampling_Period ,Transect_Number,Transect_Heading,Visibility,Species_Code,Species,Abundance,Size_cm,Min_Range_cm,Max_Range_cm,Water_Col_Position,Biomass_kg_m3,Data_Entered_By,Data_Read_By,Notes,QAQC_Name,QAQC_Date,QAQC_Notes
AR-345_CONC_2015-10-15_S,345,CONC,CR_EE,2015-10-15,Structural,Fall,,,15,CEOC,Bank Sea Bass,1,25,,,R,,CR,,,HL,2015-11-6,"Added visibility, 1 error "
AR-330_INDRA_2015-09-08_R_T1,330,INDRA,CR_JF,2015-09-08,Radiating,Fall,1,70,,CEOC,Bank Sea Bass,1,30,,,R,,CR,,,CR,2015-10-30,"Changed ID, 1 error"
AR-370_LIBERTYSHIP_2015-09-03_R_T1,370,LIBERTYSHIP ,WF_JS,2015-09-03,Radiating,Fall,1,,,CEOC,Bank Sea Bass,1,5,,,R,,CR,,,CR,2015-10-30,0 errors
AR-370_NR1_2015-12-08_S,370,NR1,CR_HL,2015-12-08,Structural,Winter,,330,15,CEOC,Bank Sea Bass,3,27,,,R,,CR,,,,,
AR-370_NR1_2015-12-08_S,370,NR1,CR_HL,2015-12-08,Structural,Winter,,330,15,CEOC,Bank Sea Bass,2,30,,,R,,CR,,,,,
AR-378_NR1_2015-09-14_S,378,NR1,WF_CR,2015-09-14,Structural,Fall,,,,CEOC,Bank Sea Bass,2,15,,,,,HL,,,HL,2015-11-5,0 errors
AR-378_NR1_2015-09-14_S,378,NR1,WF_CR,2015-09-14,Structural,Fall,,,,CEOC,Bank Sea Bass,4,10,,,,,HL,,,HL,2015-11-5,0 errors
AR-378_NR1_2015-09-14_S,378,NR1,WF_CR,2015-09-14,Structural,Fall,,,,CEOC,Bank Sea Bass,3,5,,,,,HL,,,HL,2015-11-5,0 errors
AR-372_NR2_2015-12-09_S,372,NR2,CR_HL,2015-12-09,Structural,Winter,,,20,CEOC,Bank Sea Bass,1,40,,,R,,CR,,,,,
AR-330_PIPES_2015-09-08_R_T1,330,PIPES,CR_JF,2015-09-08,Radiating,Fall,1,300,,CEOC,Bank Sea Bass,1,12,,,R,,CR,,,CR,2015-10-30,"Changed species, 1 error"
AR-330_PIPES_2015-09-08_S,330,PIPES,HL_WF,2015-09-08,Structural,Fall,,,,CEOC,Bank Sea Bass,1,30,,,R,,HL,,,CR,2015-10-30,0 errors
AR-364_PIPES_2015-12-10_R_T1,364,PIPES,CR_LB,2015-12-10,Radiating,Winter,1,,10,CEOC,Bank Sea Bass,1,33,,,R,,CR,,Pipes until 35m,,,
AR-364_PIPES_2015-12-10_S,364,PIPES,HL_DW,2015-12-10,Structural,Winter,,,10-15,CEOC,Bank Sea Bass,1,16,,,R,,HL,,,,,
AR-364_PODS_2015-09-21_S,364,PODS,CR_SO,2015-09-21,Structural,Fall,,60,,CEOC,Bank Sea Bass,1,22,,,R,,CR,,,CR,2015-11-03,0 errors
AR-370_PODS_2015-09-15_R_T3,370,PODS,CR_HL,2015-09-15,Radiating,Fall,3,0,20,CEOC,Bank Sea Bass,1,21,,,R,,CR,,"Tire at 64 m, 3 tires at 73 m, 2 tires at 78 m, pipes at 90 m",CR,2015-11-03,0 errors
AR-370_PODS_2015-09-15_S,370,PODS,CR_HL,2015-09-15,Structural,Fall,,,20,CEOC,Bank Sea Bass,1,33,,,R,,CR,,,CR,2015-11-03,0 errors
AR-370_PODS_2015-09-15_S,370,PODS,CR_HL,2015-09-15,Structural,Fall,,,20,CEOC,Bank Sea Bass,1,22,,,R,,CR,,,CR,2015-11-03,0 errors
AR-370_PODS_2015-09-15_S,370,PODS,CR_HL,2015-09-15,Structural,Fall,,,20,CEOC,Bank Sea Bass,1,26,,,R,,CR,,,CR,2015-11-03,0 errors
AR-372_PODS_2015-12-09_S,372,PODS,CR_HL,2015-12-09,Structural,Winter,,,10-15,CEOC,Bank Sea Bass,1,27,,,R,,CR,,,,,
AR-372_PODS_2015-12-09_S,372,PODS,CR_HL,2015-12-09,Structural,Winter,,,10-15,CEOC,Bank Sea Bass,1,35,,,R,,CR,,,,,
AR-372_RB1_2015-12-09_S,372,RB1,HL_CR,2015-12-09,Structural,Winter,,,10-15,CEOC,Bank Sea Bass,1,23,,,R,,HL,,,,,
AR-345_RB2_2015-10-15_S,345,RB2,CR_EE,2015-10-15,Structural,Fall,,,,CEOC,Bank Sea Bass,1,31,,,R,,CR,,,HL,2015-11-6,0 errors 
AR-330_INDRA_2015-07-27_S,330,INDRA,CR_AP_JH,2015-07-27,Structural,Summer,,,,CARU,Bar Jack,2,12,,,S,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,"Changed ID, 1 error"
AR-330_INDRA_2015-07-27_S,330,INDRA,CR_AP_JH,2015-07-27,Structural,Summer,,,,CARU,Bar Jack,3,14,,,S,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_R_T1,330,INDRA,CR_JF,2015-09-08,Radiating,Fall,1,70,,CARU,Bar Jack,10,22,,,,,CR,,,CR,2015-10-30,"Changed ID, 1 error, these fish were forgotten"
AR-330_INDRA_2015-09-08_S,330,INDRA,HL_WF,2015-09-08,Structural,Fall,,,,CARU,Bar Jack,1,16,,,W,,HL,,,CR,2015-10-30,0 errors
AR-370_LIBERTYSHIP_2015-09-03_S,370,LIBERTYSHIP ,HL_KJ,2015-09-03,Structural,Fall,,,,CARU,Bar Jack,4,26,,,W,,HL,,,CR,2015-10-30,0 errors
AR-370_NR1_2015-12-08_S,370,NR1,CR_HL,2015-12-08,Structural,Winter,,330,15,CARU,Bar Jack,5,25,,,R,,CR,,,,,
AR-372_NR2_2015-09-02_R_T3,372,NR2,CR_WF,2015-09-02,Radiating,Fall,3,0,,CARU,Bar Jack,1,13,,,R,,CR,,,HL,2015-11-3,0 errors
AR-372_PODS_2015-09-02_R_T1,372,PODS,CR_WF,2015-09-02,Radiating,Fall,1,0,,CARU,Bar Jack,1,17,,,R,,CR,,,HL,2015-11-3,0 errors 
AR-372_PODS_2015-09-02_R_T2,372,PODS,CR_WF,2015-09-02,Radiating,Fall,2,0,,CARU,Bar Jack,8,17,,,R,,CR,,,HL,2015-11-3,0 errors 
AR-372_PODS_2015-09-02_R_T2,372,PODS,CR_WF,2015-09-02,Radiating,Fall,2,0,,CARU,Bar Jack,1,14,,,R,,CR,,,HL,2015-11-3,0 errors 
AR-372_PODS_2015-09-02_R_T2,372,PODS,CR_WF,2015-09-02,Radiating,Fall,2,0,,CARU,Bar Jack,1,15,,,R,,CR,,,HL,2015-11-3,0 errors 
AR-330_RUBBLE_2015-07-17_S,330,RUBBLE,CR_AP,2015-07-17,Structural,Summer,,,,CARU,Bar Jack,3,15,,,R,,HL,CR,"PRE SAMPLING PERIOD 1st dive, less reliable data",CR,2015-10-29,"Changed ID, 1 error"
AR-345_TITAN_2015-07-17_S,345,TITAN,HL_AP,2015-07-17,Structural,Summer,,,,CARU,Bar Jack,10,little,,,S,,CR,HL,"PRE SAMPLING PERIOD 1st dive, less reliable data",CR,2015-10-29,0 errors
AR-345_TITAN_2015-08-10_S,345,TITAN,CR_GS,2015-08-10,Structural,Summer,,,,CARU,Bar Jack,1,12,,,S,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,0 errros
AR-345_TITAN_2015-08-10_S,345,TITAN,CR_GS,2015-08-10,Structural,Summer,,,,CARU,Bar Jack,3,15,,,S,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,0 errros
AR-330_BARGE_2015-09-08_R_T2,330,BARGE,HL_WF,2015-09-08,Radiating,Fall,2,330,,SPBA,Barracuda,1,,100,,S,,HL,,,CR,2015-10-30,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,2015-09-08,Structural,Fall,,300,,SPBA,Barracuda,1,91,,,R,,CR,,,CR,2015-10-30,"Changed size from 122 to 91, 1 error"
AR-330_INDRA_2015-07-27_S,330,INDRA,CR_AP_JH,2015-07-27,Structural,Summer,,,,SPBA,Barracuda,1,100,,,W,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_R_T1,330,INDRA,CR_JF,2015-09-08,Radiating,Fall,1,70,,SPBA,Barracuda,7,76,,,W,,CR,,,CR,2015-10-30,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_R_T3,330,INDRA,CR_JF,2015-09-08,Radiating,Fall,3,70,,SPBA,Barracuda,1,76,,,R,,CR,,,CR,2015-10-30,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_R_T3,330,INDRA,CR_JF,2015-09-08,Radiating,Fall,3,70,,SPBA,Barracuda,3,46,,,R,,CR,,,CR,2015-10-30,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_S,330,INDRA,HL_WF,2015-09-08,Structural,Fall,,,,SPBA,Barracuda,2,120,,,W,,HL,,,CR,2015-10-30,"Changed size from ft to cm, 1 error"
AR-370_PODS_2015-09-15_R_T3,370,PODS,CR_HL,2015-09-15,Radiating,Fall,3,0,20,SPBA,Barracuda,1,91,,,R,,CR,,"Tire at 64 m, 3 tires at 73 m, 2 tires at 78 m, pipes at 90 m",CR,2015-11-03,0 errors
AR-370_PODS_2015-09-15_S,370,PODS,CR_HL,2015-09-15,Structural,Fall,,,20,SPBA,Barracuda,1,91,,,R,,CR,,,CR,2015-11-03,0 errors
AR-345_RB1_2015-10-15_R_T3,345,RB1,WF_ML,2015-10-15,Radiating,Fall,3,150-180,15,SPBA,Barracuda,1,120,,,,,CR,,w/ scad and same scup from previous observations that were following us,HL,2015-11-6,"ID site changed, 1 error"
AR-345_TITAN_2015-07-17_S,345,TITAN,HL_AP,2015-07-17,Structural,Summer,,,,SPBA,Barracuda,1,,,,R,,CR,HL,"PRE SAMPLING PERIOD 1st dive, less reliable data",CR,2015-10-29,0 errors
AR-345_TITAN_2015-08-10_S,345,TITAN,CR_GS,2015-08-10,Structural,Summer,,,,SPBA,Barracuda,1,90,,,R,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,0 errros
AR-345_TITAN_2015-10-15_R_T1,345,TITAN,CR_EE,2015-10-15,Radiating,Fall,1,180,15,SPBA,Barracuda,1,91,,,S,,CR,,,HL,2015-11-6,0 errors 
AR-345_TITAN_2015-10-15_R_T3,345,TITAN,CR_EE,2015-10-15,Radiating,Fall,3,180,15,SPBA,Barracuda,1,91,,,S,,CR,,,HL,2015-11-6,0 errors 
AR-345_TITAN_2015-10-15_S,345,TITAN,HL_TK,2015-10-15,Structural,Fall,,,15-20,SPBA,Barracuda,2,137,,,W,,HL,,,HL,2015-11-6,0 errors 
AR-372_RB1_2015-09-02_S,372,RB1,HL_BW,2015-09-02,Structural,Fall,,,,SESU,Belted Sandfish,2,6,,,R,,HL,,,HL,2015-11-3,0 errors
AR-372_RB1_2015-09-02_S,372,RB1,HL_BW,2015-09-02,Structural,Fall,,,,SESU,Belted Sandfish,2,3,,,R,,HL,,,HL,2015-11-3,0 errors
AR-372_RB1_2015-09-02_S,372,RB1,HL_BW,2015-09-02,Structural,Fall,,,,SESU,Belted Sandfish,1,4,,,R,,HL,,,HL,2015-11-3,0 errors
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,2015-08-20,Structural,Summer,,,,SESU,Belted Sandfish,1,10,,,R,,CR,HL,PRE SAMPLING PERIOD,HL,2015-11-3,0 errors 
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,2015-09-08,Structural,Fall,,300,,SESU,Belted Sandfish,1,11,,,R,,CR,,,CR,2015-10-30,0 errors
AR-364_BARGE_2015-09-21_S,364,BARGE,HL_BW,2015-09-21,Structural,Fall,,,10-13,SESU,Belted Sandfish,1,6,,,R,,HL,,,CR,2015-11-03,0 errors
AR-364_BARGE_2015-09-21_S,364,BARGE,HL_BW,2015-09-21,Structural,Fall,,,10-13,SESU,Belted Sandfish,2,3,,,R,,HL,,,CR,2015-11-03,0 errors
AR-364_BARGE_2015-09-21_S,364,BARGE,HL_BW,2015-09-21,Structural,Fall,,,10-13,SESU,Belted Sandfish,1,6,,,R,,HL,,,CR,2015-11-03,"Added wc location, 1 error"
AR-364_BARGE_2015-09-21_S,364,BARGE,HL_BW,2015-09-21,Structural,Fall,,,10-13,SESU,Belted Sandfish,3,3,,,,,HL,,,CR,2015-11-03,0 errors
AR-364_BARGE_2015-12-10_S,364,BARGE,CR_LB,2015-12-10,Structural,Winter,,,10,SESU,Belted Sandfish,1,7,,,R,,CR,,,,,
AR-370_BARGE_2015-09-09_R_T1,370,BARGE,HL_AV,2015-09-09,Radiating,Fall,1,180,,SESU,Belted Sandfish,1,8,,,R,,HL,,,HL,2015-11-5,0 errors
AR-370_BARGE_2015-09-09_R_T1,370,BARGE,HL_AV,2015-09-09,Radiating,Fall,1,180,,SESU,Belted Sandfish,2,5,,,R,,HL,,,HL,2015-11-5,0 errors
AR-370_BARGE_2015-09-09_S,370,BARGE,CR_BW,2015-09-09,Structural,Fall,,,10,SESU,Belted Sandfish,1,11,,,R,,CR,,,HL,2015-11-5,"Added visibility, 1 error "
AR-370_BARGE_2015-09-09_S,370,BARGE,CR_BW,2015-09-09,Structural,Fall,,,10,SESU,Belted Sandfish,1,10,,,R,,CR,,,HL,2015-11-5,"Added visibility, 1 error "
AR-370_BARGE_2015-09-09_S,370,BARGE,CR_BW,2015-09-09,Structural,Fall,,,10,SESU,Belted Sandfish,1,11,,,R,,CR,,,HL,2015-11-5,"Added visibility, 1 error "
AR-370_BARGE_2015-09-09_S,370,BARGE,CR_BW,2015-09-09,Structural,Fall,,,10,SESU,Belted Sandfish,1,12,,,R,,CR,,,HL,2015-11-5,"Added visibility, 1 error "
AR-370_BARGE_2015-09-09_S,370,BARGE,CR_BW,2015-09-09,Structural,Fall,,,10,SESU,Belted Sandfish,1,12,,,R,,CR,,,HL,2015-11-5,"Added visibility, 1 error "
AR-370_BARGE_2015-09-09_S,370,BARGE,CR_BW,2015-09-09,Structural,Fall,,,10,SESU,Belted Sandfish,1,5,,,R,,CR,,,HL,2015-11-5,"Added visibility, 1 error "
AR-370_BARGE_2015-09-09_S,370,BARGE,CR_BW,2015-09-09,Structural,Fall,,,10,SESU,Belted Sandfish,1,13,,,R,,CR,,,HL,2015-11-5,"Added visibility, 1 error "
AR-370_BARGE_2015-09-09_S,370,BARGE,CR_BW,2015-09-09,Structural,Fall,,,10,SESU,Belted Sandfish,1,12,,,R,,CR,,,HL,2015-11-5,"Added visibility, 1 error "
AR-345_CONC_2015-10-15_S,345,CONC,CR_EE,2015-10-15,Structural,Fall,,,15,SESU,Belted Sandfish,1,9,,,R,,CR,,,HL,2015-11-6,"Added visibility, 1 error "
AR-345_CONC_2015-10-15_S,345,CONC,CR_EE,2015-10-15,Structural,Fall,,,15,SESU,Belted Sandfish,1,8,,,R,,CR,,,HL,2015-11-6,"Added visibility, 1 error "
AR-345_CONC_2015-10-15_S,345,CONC,CR_EE,2015-10-15,Structural,Fall,,,15,SESU,Belted Sandfish,1,7,,,R,,CR,,,HL,2015-11-6,"Added visibility, 1 error "
AR-345_CONC_2015-10-15_S,345,CONC,CR_EE,2015-10-15,Structural,Fall,,,15,SESU,Belted Sandfish,1,9,,,R,,CR,,,HL,2015-11-6,"Added visibility, 1 error "
AR-345_CONC_2015-10-15_S,345,CONC,CR_EE,2015-10-15,Structural,Fall,,,15,SESU,Belted Sandfish,1,11,,,R,,CR,,,HL,2015-11-6,"Added visibility, 1 error "
AR-345_CONC_2015-10-15_S,345,CONC,CR_EE,2015-10-15,Structural,Fall,,,15,SESU,Belted Sandfish,1,10,,,R,,CR,,,HL,2015-11-6,"Added visibility, 1 error "
AR-364_DOMES_12-10-15_S,364,DOMES,HL_DW,2015-12-10,Structural,Winter,,270,8,SESU,Belted Sandfish,1,4,,,R,,HL,,,,,
AR-364_DOMES_2015-09-21_S,364,DOMES,HL_BW,2015-09-21,Structural,Fall,,,,SESU,Belted Sandfish,2,6,,,R,,HL,,,CR,2015-11-03,0 errors
AR-364_DOMES_2015-09-21_S,364,DOMES,HL_BW,2015-09-21,Structural,Fall,,,,SESU,Belted Sandfish,1,9,,,R,,HL,,,CR,2015-11-03,0 errors
AR-364_DOMES_2015-09-21_S,364,DOMES,HL_BW,2015-09-21,Structural,Fall,,,,SESU,Belted Sandfish,2,3,,,R,,HL,,,CR,2015-11-03,0 errors
AR-364_DOMES_2015-09-21_S,364,DOMES,HL_BW,2015-09-21,Structural,Fall,,,,SESU,Belted Sandfish,1,8,,,R,,HL,,,CR,2015-11-03,0 errors
AR-330_H-UNITS_2015-09-08_S,330,H-UNITS,CR_JF,2015-09-08,Structural,Fall,,30,,SESU,Belted Sandfish,1,10,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-330_INDRA_2015-07-27_S,330,INDRA,CR_AP_JH,2015-07-27,Structural,Summer,,,,SESU,Belted Sandfish,3,12,,,R,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,"Changed ID, 1 error"
AR-330_INDRA_2015-07-27_S,330,INDRA,CR_AP_JH,2015-07-27,Structural,Summer,,,,SESU,Belted Sandfish,1,10,,,R,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,"Changed ID, 1 error"
AR-330_INDRA_2015-08-20-S,330,INDRA,CR,2015-08-20,Structural,Summer,,0,,SESU,Belted Sandfish,1,7,,,R,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,"Changed ID, added transect heading, 2 errors"
AR-330_INDRA_2015-08-20-S,330,INDRA,CR,2015-08-20,Structural,Summer,,0,,SESU,Belted Sandfish,1,10,,,R,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,"Changed ID, added transect heading, 2 errors"
AR-330_INDRA_2015-08-20-S,330,INDRA,CR,2015-08-20,Structural,Summer,,0,,SESU,Belted Sandfish,1,13,,,R,,HL,CR,PRE SAMPLING PERIOD,CR,2015-10-29,"Changed ID, added transect heading, 2 errors"
AR-330_INDRA_2015-09-08_R_T1,330,INDRA,CR_JF,2015-09-08,Radiating,Fall,1,70,,SESU,Belted Sandfish,1,13,,,R,,CR,,,CR,2015-10-30,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_R_T1,330,INDRA,CR_JF,2015-09-08,Radiating,Fall,1,70,,SESU,Belted Sandfish,1,11,,,R,,CR,,,CR,2015-10-30,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_R_T1,330,INDRA,CR_JF,2015-09-08,Radiating,Fall,1,70,,SESU,Belted Sandfish,4,12,,,R,,CR,,,CR,2015-10-30,"Changed ID, 1 error"
AR-330_INDRA_2015-09-08_S,330,INDRA,HL_WF,2015-09-08,Structural,Fall,,,,SESU,Belted Sandfish,1,7,,,R,,HL,,,CR,2015-10-30,0 errors
AR-330_INDRA_2015-09-08_S,330,INDRA,HL_WF,2015-09-08,Structural,Fall,,,,SESU,Belted Sandfish,2,5,,,R,,HL,,,CR,2015-10-30,0 errors
AR-330_INDRA_2015-09-08_S,330,INDRA,HL_WF,2015-09-08,Structural,Fall,,,,SESU,Belted Sandfish,3,8,,,R,,HL,,,CR,2015-10-30,0 errors
AR-330_INDRA_2015-09-08_S,330,INDRA,HL_WF,2015-09-08,Structural,Fall,,,,SESU,Belted Sandfish,1,11,,,R,,HL,,,CR,2015-10-30,0 errors
AR-330_INDRA_2015-09-08_S,330,INDRA,HL_WF,2015-09-08,Structural,Fall,,,,SESU,Belted Sandfish,1,9,,,R,,HL,,,CR,2015-10-30,0 errors
AR-330_INDRA_2015-09-08_S,330,INDRA,HL_WF,2015-09-08,Structural,Fall,,,,SESU,Belted Sandfish,8,,6,16,R,,HL,,,CR,2015-10-30,0 errors
AR-330_INDRA_2015-09-08_S,330,INDRA,HL_WF,2015-09-08,Structural,Fall,,,,SESU,Belted Sandfish,2,12,,,R,,HL,,,CR,2015-10-30,0 errors
AR-330_INDRA_2015-12-11_S,330,INDRA,HL_CR,2015-12-11,Structural,Winter,,50,40,SESU,Belted Sandfish,2,6,,,R,,HL,,,,,
AR-330_INDRA_2015-12-11_S,330,INDRA,HL_CR,2015-12-11,Structural,Winter,,50,40,SESU,Belted Sandfish,2,3,,,R,,HL,,,,,
AR-330_INDRA_2015-12-11_S,330,INDRA,HL_CR,2015-12-11,Structural,Winter,,50,40,SESU,Belted Sandfish,2,8,,,R,,HL,,,,,
AR-330_INDRA_2015-12-11_S,330,INDRA,HL_CR,2015-12-11,Structural,Winter,,50,40,SESU,Belted Sandfish,1,7,,,R,,HL,,,,,
AR-370_LIBERTYSHIP_2015-12-09_R_T6,370,LIBERTYSHIP,WF_LB,2015-12-09,Radiating,Winter,6,270,15-20,SESU,Belted Sandfish,1,2,,,,,CR,,at 85 m low relief hard substrate,,,
AR-370_LIBERTYSHIP_2015-12-09_S,370,LIBERTYSHIP,HL_CR,2015-12-09,Structural,Winter,,,15-20,SESU,Belted Sandfish,5,,4,5,R,,HL,,,,,
AR-370_LIBERTYSHIP_2015-12-09_S,370,LIBERTYSHIP,HL_CR,2015-12-09,Structural,Winter,,,15-20,SESU,Belted Sandfish,2,2,,,R,,HL,,,,,
AR-370_LIBERTYSHIP_2015-09-03_S,370,LIBERTYSHIP ,HL_KJ,2015-09-03,Structural,Fall,,,,SESU,Belted Sandfish,3,4,,,R,,HL,,,CR,2015-10-30,0 errors
AR-370_LIBERTYSHIP_2015-09-03_S,370,LIBERTYSHIP ,HL_KJ,2015-09-03,Structural,Fall,,,,SESU,Belted Sandfish,1,5,,,R,,HL,,,CR,2015-10-30,0 errors
AR-370_LIBERTYSHIP_2015-09-03_S,370,LIBERTYSHIP ,HL_KJ,2015-09-03,Structural,Fall,,,,SESU,Belted Sandfish,1,8,,,R,,HL,,,CR,2015-10-30,0 errors
AR-370_LIBERTYSHIP_2015-09-03_S,370,LIBERTYSHIP ,HL_KJ,2015-09-03,Structural,Fall,,,,SESU,Belted Sandfish,1,4,,,R,,HL,,,CR,2015-10-30,0 errors
AR-370_NR1_2015-09-09_R_T1,370,NR1,CR_BW,2015-09-09,Radiating,Fall,1,275,,SESU,Belted Sandfish,1,9,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-370_NR1_2015-09-09_R_T1,370,NR1,CR_BW,2015-09-09,Radiating,Fall,1,275,,SESU,Belted Sandfish,1,5,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-370_NR1_2015-09-09_R_T2,370,NR1,CR_BW,2015-09-09,Radiating,Fall,2,275,,SESU,Belted Sandfish,1,10,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-370_NR1_2015-09-09_R_T2,370,NR1,CR_BW,2015-09-09,Radiating,Fall,2,275,,SESU,Belted Sandfish,1,8,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-370_NR1_2015-09-09_R_T2,370,NR1,CR_BW,2015-09-09,Radiating,Fall,2,275,,SESU,Belted Sandfish,1,10,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-370_NR1_2015-09-09_R_T3,370,NR1,CR_BW,2015-09-09,Radiating,Fall,3,275,,SESU,Belted Sandfish,1,10,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-370_NR1_2015-09-09_R_T3,370,NR1,CR_BW,2015-09-09,Radiating,Fall,3,275,,SESU,Belted Sandfish,1,9,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-370_NR1_2015-09-09_R_T3,370,NR1,CR_BW,2015-09-09,Radiating,Fall,3,275,,SESU,Belted Sandfish,1,5,,,R,,CR,,,HL,2015-11-5,0 errors 
AR-370_NR1_2015-09-09_S,370,NR1,HL_AV,2015-09-09,Structural,Fall,,270,,SESU,Belted Sandfish,1,5,,,R,,HL,,,HL,2015-11-5,0 errors
AR-370_NR1_2015-12-08_S,370,NR1,CR_HL,2015-12-08,Structural,Winter,,330,15,SESU,Belted Sandfish,1,11,,,R,,CR,,,,,
AR-370_NR1_2015-12-08_S,370,NR1,CR_HL,2015-12-08,Structural,Winter,,330,15,SESU,Belted Sandfish,1,8,,,R,,CR,,,,,
AR-370_NR1_2015-12-08_S,370,NR1,CR_HL,2015-12-08,Structural,Winter,,330,15,SESU,Belted Sandfish,1,10,,,R,,CR,,,,,
AR-370_NR1_2015-12-08_S,370,NR1,CR_HL,2015-12-08,Structural,Winter,,330,15,SESU,Belted Sandfish,2,10,,,R,,CR,,,,,
AR-370_NR1_2015-12-08_S,370,NR1,CR_HL,2015-12-08,Structural,Winter,,330,15,SESU,Belted Sandfish,1,9,,,R,,CR,,,,,
