ID, AR_ #,AR_Subsite,Diver_Team,Date,Transect_Type,Sampling_Period ,Transect_Number,Transect_Heading,Visibility,Species code,Species,Abundance,Size_cm,Min Range_cm,Max Range_cm,Water_Col_Position,Biomass_kg/m3,Data entered by,Data read by,NOTES,QAQC_name,QAQC_date,QAQC_Notes
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,SESU,Belted Sandfish,1,10,,,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,CEST,Black Sea Bass,2,14,,,S,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,CEST,Black Sea Bass,1,25,,,S,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,CEST,Black Sea Bass,3,12,,,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,CEST,Black Sea Bass,1,18,,,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,STCA/STCH,Longspine Porgy/Scup,1,7,,,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,"Added species, added water col position, 2 errors"
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,DIFO,Sand Perch,1,8,,,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,DIFO,Sand Perch,1,10,,,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,HABI,Slippery Dick,5,,4,12,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,HABI,Slippery Dick,1,12,,,S,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,HABI,Slippery Dick,1,17,,,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,HABI,Slippery Dick,1,4,,,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,HABI,Slippery Dick,5,,5,6,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,HABI,Slippery Dick,1,3,,,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,DIHO,Spottail Pinfish,15,,4,14,S,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,DIHO,Spottail Pinfish,20,15,,,W,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,HAAU,Tomtate,5,12,,,S,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,HAAU,Tomtate,200,,4,6,W,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,HAAU,Tomtate,150,,4,6,S,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,UNK,Unknown Fish Species,2,6,,,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-08-20_S,330,BARGE,HL,8/20/2015,Structural,Fall,,,,PORG,Unknown Porgy,1,20,,,R,,CR,HL,PRE SAMPLING PERIOD,HL,11/3/2015,0 errors 
AR-330_BARGE_2015-09-08_R_T1,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,8,,,R,,HL,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_R_T1,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,2,14,,,R,,HL,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_R_T1,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,12,,,R,,HL,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_R_T1,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,15,,,R,,HL,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_R_T1,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,20,,,R,,HL,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_R_T1,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,21,,,R,,HL,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_R_T1,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,1,330,,CEST,Black Sea Bass,1,8,,,R,,HL,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_R_T1,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,1,330,,DEMA,Mackeral Scad,250,,12,17,S/W,,HL,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_R_T1,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,1,330,,DIFO,Sand Perch,4,,12,18,R,,HL,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_R_T1,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,1,330,,HABI,Slippery Dick,1,26,,,R,,HL,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_R_T2,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,2,330,,SPBA,Barracuda,1,,100,,S,,HL,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_R_T2,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,2,330,,DEMA,Mackeral Scad,200,,12,17,S/W,,HL,,Same ones from T1,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_R_T3,330,BARGE,HL_WF,9/8/2015,Radiating,Fall,3,,,,,NO_FISH,,,,,,HL,,No Fish on T3,CR,10/30/2015,"Changed ID, 1 error"
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,SPBA,Barracuda,1,91,,,R,,CR,,,CR,10/30/2015,"Changed size from 122 to 91, 1 error"
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,SESU,Belted Sandfish,1,11,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,13,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,12,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,24,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,10,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,13,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,11,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,16,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,14,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,20,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,16,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,17,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,22,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,25,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CEST,Black Sea Bass,1,23,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,DESP,Decapterus Species- likely round or mackeral scad,2000,20,,,,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,DESP,Decapterus Species- likely round or mackeral scad,3000,15,,,W,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,DESP,Decapterus Species- likely round or mackeral scad,20,21,,,,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,DIFO,Sand Perch,1,21,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HABI,Slippery Dick,1,21,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HABI,Slippery Dick,1,7,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HABI,Slippery Dick,1,11,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HABI,Slippery Dick,1,20,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HABI,Slippery Dick,1,16,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HABI,Slippery Dick,1,8,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HABI,Slippery Dick,1,23,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HABI,Slippery Dick,1,8,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HABI,Slippery Dick,1,26,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,DIHO,Spottail Pinfish,1,12,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,DIHO,Spottail Pinfish,1,12,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,DIHO,Spottail Pinfish,2,22,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HAAU,Tomtate,800,11,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HAAU,Tomtate,300,11,,,S,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HAAU,Tomtate,8,12,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,HAAU,Tomtate,300,12,,,W,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CARA,Unknown Jack,2,?,,,,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,GRUN,Unkown Grunt,1,13,,,R,,CR,,probably white grunt,CR,10/30/2015,0 errors
AR-330_BARGE_2015-09-08_S,330,BARGE,CR_JF,9/8/2015,Structural,Fall,,300,,CARA,Unknown Jack,1,23,,,R,,CR,,,CR,10/30/2015,0 errors
AR-330_BARGE_2015-12-11_R_T1,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,1,315,35-40ft,STCA/STCH,Longspine Porgy/Scup,1000,15,,,S,,CR,,,,,
AR-330_BARGE_2015-12-11_R_T1,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,1,315,35-40ft,GRUN,Unknown Grunt,5,15,,,R,,CR,,Stripes,,,
AR-330_BARGE_2015-12-11_R_T2,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,2,315,35-40ft,CEST,Black Sea Bass,1,20,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_R_T2,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,2,315,35-40ft,CEST,Black Sea Bass,1,15,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_R_T2,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,2,315,35-40ft,CEST,Black Sea Bass,1,20,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_R_T2,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,2,315,35-40ft,STCA/STCH,Longspine Porgy/Scup,1000,15,,,S,,CR,,,,,
AR-330_BARGE_2015-12-11_R_T2,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,2,315,35-40ft,GERR,Unknown Mojarra,2,15,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,3,315,35-40ft,CEOC,Bank Sea Bass,10,26,,,R,,CR,,Sailboat at 32-45 m,,,
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,3,315,35-40ft,CEST,Black Sea Bass,1,27,,,R,,CR,,Sailboat at 32-45 m,,,
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,3,315,35-40ft,CEST,Black Sea Bass,5,25,,,R,,CR,,Sailboat at 32-45 m,,,
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,3,315,35-40ft,CEST,Black Sea Bass,1,21,,,R,,CR,,Sailboat at 32-45 m,,,
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,3,315,35-40ft,GYMN,Butteryfly ray,,,,,R,,CR,,Off transect,,,
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,3,315,35-40ft,MULL,Unknown Goatfish,3,23,,,R,,CR,,Sailboat at 32-45 m,,,
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,3,315,35-40ft,STCA/STCH,Longspine Porgy/Scup,200,13,,,R,,CR,,Sailboat at 32-45 m,,,
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,3,315,35-40ft,HABI,Slippery Dick,3,20,,,R,,CR,,Sailboat at 32-45 m,,,
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,3,315,35-40ft,HABI,Slippery Dick,6,10,,,R,,CR,,Sailboat at 32-45 m,,,
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,3,315,35-40ft,HABI,Slippery Dick,1,13,,,R,,CR,,Sailboat at 32-45 m,,,
AR-330_BARGE_2015-12-11_R_T3,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,3,315,35-40ft,TAON,Tautog,1,40,,,R,,CR,,Sailboat at 32-45 m,,,
AR-330_BARGE_2015-12-11_R_T4,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,4,315,35-40ft,CEST,Black Sea Bass,1,18,,,R,,CR,,"Pipe at 53 m, end radiating at 60 m",,,
AR-330_BARGE_2015-12-11_R_T4,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,4,315,35-40ft,CEST,Black Sea Bass,1,20,,,R,,CR,,"Pipe at 53 m, end radiating at 60 m",,,
AR-330_BARGE_2015-12-11_R_T4,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,4,315,35-40ft,CEST,Black Sea Bass,1,21,,,R,,CR,,"Pipe at 53 m, end radiating at 60 m",,,
AR-330_BARGE_2015-12-11_R_T4,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,4,315,35-40ft,MYMI,Gag,1,23,,,R,,CR,,"Pipe at 53 m, end radiating at 60 m",,,
AR-330_BARGE_2015-12-11_R_T4,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,4,315,35-40ft,STCA/STCH,Longspine Porgy/Scup,500,13,,,S,,CR,,"Pipe at 53 m, end radiating at 60 m",,,
AR-330_BARGE_2015-12-11_R_T4,330,BARGE,CR_HL,12/11/2015,Radiating,Winter ,4,315,35-40ft,HAAU,Tomtate,1,21,,,R,,CR,,"Pipe at 53 m, end radiating at 60 m",,,
AR-330_BARGE_2015-12-11_S,330,BARGE,CR_HL,12/11/2015,Structural,Winter ,,,40 ft,CEST,Black Sea Bass,1,20,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_S,330,BARGE,CR_HL,12/11/2015,Structural,Winter ,,,40 ft,CEST,Black Sea Bass,1,20,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_S,330,BARGE,CR_HL,12/11/2015,Structural,Winter ,,,40 ft,CEST,Black Sea Bass,1,18,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_S,330,BARGE,CR_HL,12/11/2015,Structural,Winter ,,,40 ft,PAUM,Cubbyu ,1,14,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_S,330,BARGE,CR_HL,12/11/2015,Structural,Winter ,,,40 ft,PAUM,Cubbyu ,1,15,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_S,330,BARGE,CR_HL,12/11/2015,Structural,Winter ,,,40 ft,MYMI,Gag,1,23,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_S,330,BARGE,CR_HL,12/11/2015,Structural,Winter ,,,40 ft,CAAR,Grass Porgy,1,35,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_S,330,BARGE,CR_HL,12/11/2015,Structural,Winter ,,,40 ft,STCA/STCH,Longspine Porgy/Scup,500,14,,,R,,CR,,,,,
AR-330_BARGE_2015-12-11_S,330,BARGE,CR_HL,12/11/2015,Structural,Winter ,,,40 ft,STCA/STCH,Longspine Porgy/Scup,1000,14,,,R/S,,CR,,,,,
AR-330_BARGE_2015-12-11_S,330,BARGE,CR_HL,12/11/2015,Structural,Winter ,,,40 ft,ARPR,Sheepshead,1,40,,,S,,CR,,,,,
