"ID","Site","Subsite","Date","Transect_Type","Sampling_Period","Transect_Number","Temp_avg","Temp_max","Temp_min","max_dep","min_dep","avg_dep","ver_rel_m","DRR","Structure_Type","Structure_Material","Reef_Type","Deployment_Year","Time_Since_Deployment_yrs","Depth_ft","DMF_Area_sqft","DMF_Notes","Longitude_DD","Latitude_DD","GIS_FID","NEAR_FID","Distance_to_HB","NR_FID","Distance_to_NR","AR_FID","Distance_to_AR","Distance_To_Nearest_Land_ft","Distance_To_Nearest_Land_miles","Notes","ABSA","ACAN","ARPR","BLEN","CAAR","CABAR","CACA","CACR","CANO","CAPE","CARA","CARU","CASU","CEOC","CEST","CHAE","CHFA","CHISC","CHOC","COGL","COPU","DEMA","DEPU","DESP","DIFO","DIHO","GERR","GNTH","GOBY","GRUN","HAAL","HAAU","HABI","HAPL","JDAM","LARH","MULL","MUMA","MYMI","MYPH","NOFI","OPMA","OPTA","PAAL","PADE","PALE","PAMA","PARA","PAUM","PORG","PSMA","RAEG","RYMA","SCMA","SEDU","SEFA","SERI","SESU","SPBA","SPHY","SPSP","STCA/STCH","STCH","STHI","STVA/STLE","SYFO","SYIN","SYSP","TAON","TETR","UNK","UPPA","WRAS"
"AR-330_BARGE_2016-04-26_R_T2",330,"BARGE","2016-04-26","Radiating","Spring",1,16.9002058823529,16.903,16.808,18.8193686,18.52935673,18.7123182996078,0.290011870000001,0.0504355956481154,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_BARGE_2016-04-26_R_T3",330,"BARGE","2016-04-26","Radiating","Spring",2,16.903,16.903,16.903,18.9070118,18.67443071,18.7941267915238,0.23258109,0.0511970503159284,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_BARGE_2016-04-26_R_T4",330,"BARGE","2016-04-26","Radiating","Spring",2,16.903,16.903,16.903,18.9070118,18.67443071,18.7941267915238,0.23258109,0.0511970503159284,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_BARGE_2016-04-26_R_T5",330,"BARGE","2016-04-26","Radiating","Spring",3,16.903,16.903,16.903,18.93409409,18.6653806,18.8569361561818,0.26871349,0.0449992116800884,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_BARGE_2016-04-26_R_T6",330,"BARGE","2016-04-26","Radiating","Spring",3,16.903,16.903,16.903,18.93409409,18.6653806,18.8569361561818,0.26871349,0.0449992116800884,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_BARGE_2016-04-26_S_T0",330,"BARGE","2016-04-26","Structural","Spring",0,16.903,16.903,16.903,16.723417,16.29071275,16.5850898423022,0.43270425,0.0744871453358554,"SHIP","METAL","Artificial",2009,7,64,3775.935,"200 FT Deck Barge TBM IX",76.85133333,34.56326667,1,0,573.4517946,NA,NA,0,573.4517946,45683.28237,8.652136812,"Added to GIS",0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2015-09-08_R_T1",330,"INDRA","2015-09-08","Radiating","Fall",1,27.583,27.665,27.567,18.615,15.3374,17.3097934693878,3.2776,0.975566817017355,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,1,10,0,1,2,0,0,0,0,0,0,0,0,870,2,5,0,0,0,0,0,651,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2015-09-08_R_T2",330,"INDRA","2015-09-08","Radiating","Fall",2,27.5904647887324,27.665,27.567,18.629,18.2591,18.4327920187793,0.369900000000001,0.0763138917727899,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2015-09-08_R_T3",330,"INDRA","2015-09-08","Radiating","Fall",3,27.6607621621622,27.665,27.567,18.71069921,18.45001514,18.5834021382162,0.26068407,0.05318574191835,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2015-09-08_S_T0",330,"INDRA","2015-09-08","Structural","Fall",0,27.6182947658402,27.665,27.567,15.04880596,12.28511937,14.4316006287603,2.76368659,0.894061534965031,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,1,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,502,200,0,1,15,0,0,0,0,0,820,17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,20,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2015-12-11_R_T1",330,"INDRA","2015-12-11","Radiating","Winter",1,18.045,18.045,18.045,19.6738,18.8372,19.1623184466019,0.836600000000001,0.225160781224184,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2015-12-11_R_T2",330,"INDRA","2015-12-11","Radiating","Winter",1,18.045,18.045,18.045,19.6738,18.8372,19.1623184466019,0.836600000000001,0.225160781224184,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2015-12-11_R_T3",330,"INDRA","2015-12-11","Radiating","Winter",2,18.045,18.045,18.045,19.24132159,18.87931709,19.0624395647619,0.362004499999998,0.0819705982411943,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2015-12-11_R_T4",330,"INDRA","2015-12-11","Radiating","Winter",2,18.045,18.045,18.045,19.24132159,18.87931709,19.0624395647619,0.362004499999998,0.0819705982411943,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2015-12-11_R_T5",330,"INDRA","2015-12-11","Radiating","Winter",3,18.045,18.045,18.045,19.33270731,18.92150558,19.1829257308696,0.411201729999998,0.0765915369237193,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
"AR-330_INDRA_2015-12-11_R_T6",330,"INDRA","2015-12-11","Radiating","Winter",3,18.045,18.045,18.045,19.33270731,18.92150558,19.1829257308696,0.411201729999998,0.0765915369237193,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2015-12-11_S_T0",330,"INDRA","2015-12-11","Structural","Winter",0,18.045,18.045,18.045,16.9557259,15.19612546,15.9617007684615,1.75960044,0.21877656203064,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,300,0,0,5,0,0,0,0,0,100,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,200,0,0,7,0,0,0,0,0,0,0,0
"AR-330_INDRA_2016-04-26_R_T1",330,"INDRA","2016-04-26","Radiating","Spring",1,16.903,16.903,16.903,19.39007005,18.55358109,18.829701579902,0.836488959999997,0.248076052236394,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2016-04-26_R_T2",330,"INDRA","2016-04-26","Radiating","Spring",1,16.903,16.903,16.903,19.39007005,18.55358109,18.829701579902,0.836488959999997,0.248076052236394,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2016-04-26_R_T3",330,"INDRA","2016-04-26","Radiating","Spring",2,16.903,16.903,16.903,18.9070118,18.5324188,18.6572064871579,0.374593000000001,0.0838729518015474,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2016-04-26_R_T4",330,"INDRA","2016-04-26","Radiating","Spring",2,16.903,16.903,16.903,18.9070118,18.5324188,18.6572064871579,0.374593000000001,0.0838729518015474,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2016-04-26_R_T5",330,"INDRA","2016-04-26","Radiating","Spring",3,16.903,16.903,16.903,18.96736856,18.77105597,18.8672702064646,0.196312590000002,0.0434807892286045,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2016-04-26_R_T6",330,"INDRA","2016-04-26","Radiating","Spring",3,16.903,16.903,16.903,18.96736856,18.77105597,18.8672702064646,0.196312590000002,0.0434807892286045,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_INDRA_2016-04-26_S_T0",330,"INDRA","2016-04-26","Structural","Spring",0,16.903,16.903,16.903,17.11039436,12.03382565,15.0252668092442,5.07656871,0.889413532159449,"SHIP","METAL","Artificial",1992,24,63,13376.9415,"320 FT Landing Craft Repair Ship ""INDRA""",76.85191667,34.56176667,0,1,573.4517946,NA,NA,1,573.4517946,46204.48689,8.750849789,"Added to GIS",0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR-330_PIPES_2015-09-08_R_T1",330,"PIPES","2015-09-08","Radiating","Fall",1,27.665,27.665,27.665,19.0488,18.5558,18.7702705202312,0.492999999999999,0.117204406012237,"PIPES","CONCRETE","Artificial",1990,26,64,35841.317,"822 Tons Concrete Pipe",76.8544,34.55588333,2,24,831.4528983,NA,NA,24,831.4528983,47986.75493,9.088400554,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AR-330_PIPES_2015-09-08_R_T2",330,"PIPES","2015-09-08","Radiating","Fall",2,27.665,27.665,27.665,18.8093,18.5381,18.6826127272727,0.2712,0.0453886511597557,"PIPES","CONCRETE","Artificial",1990,26,64,35841.317,"822 Tons Concrete Pipe",76.8544,34.55588333,2,24,831.4528983,NA,NA,24,831.4528983,47986.75493,9.088400554,"Added to GIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
